"1","-6","9","2.14567e-17"
"2","-5.97997","9","2.17286e-17"
"3","-5.95993","8","2.18731e-17"
"4","-5.9399","9","2.20744e-17"
"5","-5.91987","9","2.22835e-17"
"6","-5.89983","9","2.25255e-17"
"7","-5.8798","9","2.28125e-17"
"8","-5.85977","9","2.31316e-17"
"9","-5.83973","9","2.32547e-17"
"10","-5.8197","9","2.35763e-17"
"11","-5.79967","8","2.37277e-17"
"12","-5.77963","9","2.40409e-17"
"13","-5.7596","8","2.43532e-17"
"14","-5.73957","9","2.45132e-17"
"15","-5.71953","9","2.47082e-17"
"16","-5.6995","9","2.50446e-17"
"17","-5.67947","9","2.53455e-17"
"18","-5.65943","9","2.56789e-17"
"19","-5.6394","9","2.58984e-17"
"20","-5.61937","9","2.62087e-17"
"21","-5.59933","9","2.63992e-17"
"22","-5.5793","8","2.66799e-17"
"23","-5.55927","9","2.69504e-17"
"24","-5.53923","9","2.72757e-17"
"25","-5.5192","9","2.76163e-17"
"26","-5.49917","9","2.78493e-17"
"27","-5.47913","9","2.81996e-17"
"28","-5.4591","9","2.84858e-17"
"29","-5.43907","9","2.88939e-17"
"30","-5.41903","8","2.93214e-17"
"31","-5.399","9","2.94685e-17"
"32","-5.37896","8","3.01409e-17"
"33","-5.35893","9","3.01403e-17"
"34","-5.3389","9","3.0402e-17"
"35","-5.31886","8","3.09608e-17"
"36","-5.29883","8","3.13792e-17"
"37","-5.2788","8","3.17329e-17"
"38","-5.25876","7","3.22476e-17"
"39","-5.23873","8","3.24795e-17"
"40","-5.2187","8","3.28247e-17"
"41","-5.19866","7","3.3204e-17"
"42","-5.17863","7","3.37639e-17"
"43","-5.1586","9","3.38369e-17"
"44","-5.13856","8","3.43398e-17"
"45","-5.11853","9","3.45657e-17"
"46","-5.0985","8","3.52406e-17"
"47","-5.07846","8","3.54957e-17"
"48","-5.05843","8","3.56046e-17"
"49","-5.0384","9","3.63219e-17"
"50","-5.01836","9","3.66368e-17"
"51","-4.99833","9","3.69955e-17"
"52","-4.9783","9","3.75252e-17"
"53","-4.95826","9","3.79266e-17"
"54","-4.93823","8","3.85413e-17"
"55","-4.9182","9","3.87504e-17"
"56","-4.89816","9","3.92622e-17"
