Y;Fieldvalue
-1.2313E+01;6.8279E+00
-1.2312E+01;6.8293E+00
-1.2311E+01;6.8307E+00
-1.2310E+01;6.8321E+00
-1.2309E+01;6.8334E+00
-1.2308E+01;6.8348E+00
-1.2307E+01;6.8362E+00
-1.2306E+01;6.8376E+00
-1.2305E+01;6.8389E+00
-1.2304E+01;6.8403E+00
-1.2303E+01;6.8417E+00
-1.2302E+01;6.8431E+00
-1.2301E+01;6.8444E+00
-1.2300E+01;6.8458E+00
-1.2299E+01;6.8472E+00
-1.2298E+01;6.8486E+00
-1.2297E+01;6.8499E+00
-1.2296E+01;6.8513E+00
-1.2295E+01;6.8527E+00
-1.2294E+01;6.8541E+00
-1.2293E+01;6.8554E+00
-1.2292E+01;6.8568E+00
-1.2291E+01;6.8582E+00
-1.2290E+01;6.8595E+00
-1.2289E+01;6.8609E+00
-1.2288E+01;6.8623E+00
-1.2287E+01;6.8637E+00
-1.2286E+01;6.8650E+00
-1.2285E+01;6.8664E+00
-1.2284E+01;6.8678E+00
-1.2283E+01;6.8692E+00
-1.2282E+01;6.8705E+00
-1.2281E+01;6.8719E+00
-1.2280E+01;6.8733E+00
-1.2279E+01;6.8747E+00
-1.2278E+01;6.8760E+00
-1.2277E+01;6.8774E+00
-1.2276E+01;6.8788E+00
-1.2275E+01;6.8802E+00
-1.2274E+01;6.8815E+00
-1.2273E+01;6.8829E+00
-1.2272E+01;6.8843E+00
-1.2271E+01;6.8857E+00
-1.2270E+01;6.8870E+00
-1.2269E+01;6.8884E+00
-1.2268E+01;6.8898E+00
-1.2267E+01;6.8911E+00
-1.2266E+01;6.8925E+00
-1.2265E+01;6.8939E+00
-1.2264E+01;6.8953E+00
-1.2263E+01;6.8966E+00
-1.2262E+01;6.8980E+00
-1.2261E+01;6.8994E+00
-1.2260E+01;6.9008E+00
-1.2259E+01;6.9021E+00
-1.2258E+01;6.9035E+00
-1.2257E+01;6.9049E+00
-1.2256E+01;6.9063E+00
-1.2255E+01;6.9076E+00
-1.2254E+01;6.9090E+00
-1.2253E+01;6.9104E+00
-1.2252E+01;6.9118E+00
-1.2251E+01;6.9131E+00
-1.2250E+01;6.9145E+00
-1.2249E+01;6.9159E+00
-1.2248E+01;6.9173E+00
-1.2247E+01;6.9186E+00
-1.2246E+01;6.9200E+00
-1.2245E+01;6.9214E+00
-1.2244E+01;6.9227E+00
-1.2243E+01;6.9241E+00
-1.2242E+01;6.9255E+00
-1.2241E+01;6.9269E+00
